"Marca temporal","Matricula"
"2020/10/03 10:11:17 a.m. GMT-5","1949731"
"2020/10/03 10:11:33 a.m. GMT-5","1895512"
"2020/10/03 10:11:34 a.m. GMT-5","1863369"
"2020/10/03 10:11:54 a.m. GMT-5","2076276"
"2020/10/03 10:12:02 a.m. GMT-5","1990018"
"2020/10/03 10:12:03 a.m. GMT-5","1990063"
"2020/10/03 10:12:12 a.m. GMT-5","1957710"
"2020/10/03 10:12:29 a.m. GMT-5","1901942"
"2020/10/03 10:13:08 a.m. GMT-5","1821911"
"2020/10/03 10:13:28 a.m. GMT-5","1957959"
"2020/10/03 10:14:17 a.m. GMT-5","1953892"
"2020/10/03 10:14:32 a.m. GMT-5","1956093"
"2020/10/03 10:14:42 a.m. GMT-5","1916913"
"2020/10/03 10:15:33 a.m. GMT-5","1990111"
"2020/10/03 10:17:41 a.m. GMT-5","1963285"
"2020/10/03 10:22:47 a.m. GMT-5","1908295"
"2020/10/03 10:23:49 a.m. GMT-5","1874585"
"2020/10/03 10:32:02 a.m. GMT-5","1898963"
"2020/10/03 10:45:56 a.m. GMT-5","1906296"
"2020/10/03 10:48:31 a.m. GMT-5","1927466"
"2020/10/03 10:51:51 a.m. GMT-5","2076195"
"2020/10/03 10:54:08 a.m. GMT-5","2076228"
"2020/10/03 11:03:45 a.m. GMT-5","1907164"
"2020/10/03 10:08:41 p.m. GMT-5","1902107"
